FILE,ISSUES,BUGS,SUPPORT_BUGS,P1,P2,P3,P4,MAX_COMPLEXITY,HAL_VOLUME,COVERAGE,LINES,LINES_COVERED
"1e730e8907db845a08aef8a0719b68902910ad9effaa04ea4193098c.py",1,1,0,1,0,0,0,19,298.0279733136923,0.5818,110,64
"7876c6e9ea3c469ed4a4ca73a694759075c95a6d309513c82cea3aa8.py",3,1,0,0,0,1,0,2,0,0.75,16,12
"6a83efd08fc61ad6c6e7d5fe6a65f6718445953fe9ef0765e2969cee.py",23,10,7,1,5,4,0,8,398.6443989321798,0.2261,230,52
"a3c8915a8595fea0ee9f579bb845dfcdf2de330548f8a85bdb08dfaa.py",3,1,1,0,0,1,0,12,242.89904975637864,0.2097,124,26
"94015c818825563baac04888f3000bead14575a51e87619fbe4acd79.py",1,0,0,0,0,0,0,5,2,0.4167,12,5
"2ce9b0db859f443ed29a5255932ccff2c530d580822aa32819447b68.py",12,5,2,1,3,1,0,8,317.77665530336594,0.6369,168,107
"25fab3a2423622a3d318366b6830568b576b4cb991bbc252e4dc5252.py",2,0,0,0,0,0,0,24,1107.7255159335207,0.3652,178,65
"e7a35bf626a4b37633c18736b5c71a4a229e7a283061b7e7d0ef9111.py",13,7,0,3,4,0,0,7,66.41714012534482,0.4844,64,31
"a75286104f86273509a4482c77bd243717914b2dceb4bff7d13629f2.py",7,1,0,1,0,0,0,3,41.51317942364757,0.05263,38,2
"e55bc7ba08243f21614ca34574157c05df4de685d1aa6758489abcb8.py",1,0,0,0,0,0,0,-1,-1,0.0,0,0
"93aea9f72edb3756cf55ac94ac6fbb8f0be9743606ab97e9a75f7fb9.py",7,4,2,0,1,1,2,10,552.9684466400131,0.1863,102,19
"2e20a1fdfc37edd2570864b00fc0aea64cc9df4292ab35a4a2ae1a62.py",11,3,1,0,2,1,0,19,271.41833283925547,0.364,239,87
"a92140ab783d5189c4e1e069064411773648caff86c6dd9f7c72deab.py",8,2,0,0,1,1,0,1,0,1.0,114,114
"11d7207409158fb67c9d0276b11b3ccc1f9f31b9f4cfbc4c5714ca61.py",10,4,1,0,3,1,0,89,5172.745548456491,0.5487,760,417
"ae2a8823918880bdce8120bada5e22047c030ab36083e317a222e3e7.py",15,8,5,0,5,3,0,94,5125.524131984317,0.5284,721,381
"3170fc2e5840299c1c873a5e91f117a089c20660f79e57b5e0693613.py",10,5,3,1,0,1,3,10,222.9388339674094,0.374,123,46
"25fa6d851070e5c0243d2e77a2a797bd03457f2b201325f5446e1a9b.py",5,4,3,0,2,1,1,8,801.0515525818787,0.2842,380,108
"8d1e2a3eef4f125d91ef7432a697c9757f2b16527e90fd7c8f331fc1.py",8,3,1,0,2,1,0,-1,-1,0.0,0,0
"b9f69fea6c7a50ff5c275a0198d79d21a088df3304c3237ff6d8adcb.py",5,4,3,0,2,1,1,24,620.9212098075346,0.3043,161,49
